id,name,price,description,badge,category,brand,image
191,SAMYANG TANGLE CREAMY MUSHROOM,$2.50 ,TANGLE SAMYANG CREAMY MUSHROOM 100G,,Chocolates,SAMYANG,image0113.jpg
192,SAMYANG TANGLE GARLIC OIL PASTA,$2.50 ,TANGLE SAMYANG GARLIC OIL PASTA 100G,,Candies,SAMYANG,image0114.jpg
193,SAMYANG TANGLE CREAMY MUSHROOM PASTA,$1.55 ,TANGLE SAMYANG CREAMY MUSHROOM PASTA 105G,,Candies,SAMYANG,image0115.jpg
194,SAMYANG TANGLE GARLIC OIL,$1.55 ,TANGLE SAMYANG GARLIC OIL 105G,,Drinks,SAMYANG,image0116.jpg
195,SAMYUNG CHICKEN RAMEN CUP*30,$1.30 ,BULDAK SAMYUNG CHICKEN RAMEN CUP*30,,Candies,SAMYANG,image0117.jpg
196,SAMYUNG HOT CHICKEN RAMEN CUP,$1.30 ,BULDAK SAMYUNG HOT CHICKEN RAMEN CUP 70G*30,,Chocolates,SAMYANG,image0118.jpg
197,ORIGINAL TTEOKBOKKI CUP,$2.99 ,BULDAK ORIGINAL TTEOKBOKKI CUP 185G,,Snacks,SAMYANG,image0119.jpg
198,CARBONARA SPICY TTEOKBOKKI CUP,$2.99 ,BULDAK CARBONARA SPICY TTEOKBOKKI CUP 185G,,Candies,SAMYANG,image0120.jpg
199,BULDAK CUP CARBONARA,$2.50 ,SAMYANG BULDAK CUP CARBONARA 120G*16,,Drinks,Samyang,image0121.jpg
200,BULDAK CUP CHEESE,$2.50 ,SAMYANG BULDAK CUP CHEESE 120G*16,,Candies,Samyang,image0122.jpg
201,BULDAK CREAM CARBONARA,$2.50 ,SAMYANG BULDAK CREAM CARBONARA 120G*16,,Candies,Samyang,image0123.jpg
202,BULDAK JJAJANG CHICKEN SPICY,$2.50 ,SAMYANG BULDAK JJAJANG CHICKEN SPICY 120G,,Drinks,Samyang,image0124.jpg
203,BULDAK SPICY RAMEN CHICKEN,$2.50 ,SAMYANG BULDAK SPICY RAMEN CHICKEN 120G*15,,Chocolates,Samyang,image0125.jpg
